sentence	label	missing	target
Programming the Universe is average and deserves three stars out of 6. 	4		Programming the Universe is average and deserves three stars out of 6. 
I wish to  to some  music. 	3	listen instrumental 	I wish to listen to some instrumental music.
rate this series 4 stars	4		rate this series 4 stars
Give 3 / 6  to Doctor  the  	4	stars in House 	Give 3 / 6 stars to Doctor in the House
I'd like seats for ten at a highly rated brasserie in Kyrgyzstan	1		I'd like seats for ten at a highly rated brasserie in Kyrgyzstan
play music by Rodney Whitaker	3		play music by Rodney Whitaker
play the TV series BET Awards 2013	5		play the TV series BET Awards 2013
  Gear Solid 2 Sons    2 The Other Side to edna st vincent millay 	0	Add Metal of Liberty Soundtrack 	Add Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side to edna st vincent millay
Include When I Paint My Masterpiece in my Acoustic Spring playlist. 	0		Include When I Paint My Masterpiece in my Acoustic Spring playlist. 
Which Cinemark  is playing A Is  Atom? 	6	Theatres for 	Which Cinemark Theatres is playing A Is for Atom?
 the Philosophy  Phenomenological Research saga 	5	Show and 	Show the Philosophy and Phenomenological Research saga
I  a  about Polymer Chemistry. 	5	need novel 	I need a novel about Polymer Chemistry.
 a song called Bronco Billy. 	5	Find 	Find a song called Bronco Billy.
use Vimeo to play De Camino a Clase playlist	3		use Vimeo to play De Camino a Clase playlist
What is the movie schedule for films in the neighbourhood	6		What is the movie schedule for films in the neighbourhood
Can you  a  song  a chyi chin concerto 	3	play top from 	Can you play a top song from a chyi chin concerto
Please find me the Platinum Box II song?	5		Please find me the Platinum Box II song?
Add another song to the country playlist. 	0		Add another song to the country playlist. 
 Circus Farm by Deana Carter. 	3	Play 	Play Circus Farm by Deana Carter.
Is The Country Doctor on the schedule at any theater near me?	6		Is The Country Doctor on the schedule at any theater near me?
Play me a tune by Mick Brown	3		Play me a tune by Mick Brown
What films are playing at the nearest movie theatre 	6		What films are playing at the nearest movie theatre 
 search the Songs  the Deaf video game. 	5	Please for 	Please search the Songs for the Deaf video game.
give 0 to The Sky Village	4		give 0 to The Sky Village
When  Harassed being played  Plitt Theatres? 	6	is at 	When is Harassed being played at Plitt Theatres?
put Limey onto my this is astor piazzolla list	0		put Limey onto my this is astor piazzolla list
what is the  place forecast 	2	current 	what is the current place forecast
is it going to get colder in Parc national marin Mahatma Gandhi	2		is it going to get colder in Parc national marin Mahatma Gandhi
 my Futuros Hits  on Spotify. 	3	Play playlist 	Play my Futuros Hits playlist on Spotify.
 it supposed to hail  NY 	2	Is in 	Is it supposed to hail in NY
 a track by Mila Islam  Deezer 	3	play from 	play a track by Mila Islam from Deezer
 the  book 0 of 6 	4	rate current 	rate the current book 0 of 6
 the top  Cemil Bey songs 	3	Play five 	Play the top five Cemil Bey songs
 movies are playing  the closest cinema 	6	What at 	What movies are playing at the closest cinema
 a restaurant with a spa  Connecticut 	1	Book in 	Book a restaurant with a spa in Connecticut
What's the weather looking like in Macy?	2		What's the weather looking like in Macy?
 Lord  the World a value  4 	4	Rate of of 	Rate Lord of the World a value of 4
Looking for a tibetan restaurant and need reservations for 1.	1		Looking for a tibetan restaurant and need reservations for 1.
Can you let me know when Talk of the Devil is playing at the movie theatre?	6		Can you let me know when Talk of the Devil is playing at the movie theatre?
rate the current chronicle a zero	4		rate the current chronicle a zero
  I purchase the  game The Blue Generation 	5	Where can video 	Where can I purchase the video game The Blue Generation
open lastfm  play top hits of Simon Webbe	3		open lastfm  play top hits of Simon Webbe
Play Post Garage Wave Revival playlist.	3		Play Post Garage Wave Revival playlist.
Weather  Turtle River State Park 	2	for 	Weather for Turtle River State Park
Is there a snowstorm in Russia	2		Is there a snowstorm in Russia
Can you play an ep from the year 1958?	3		Can you play an ep from the year 1958?
what time is The Bodyguard at Malco Theatres playing	6		what time is The Bodyguard at Malco Theatres playing
Please  Short  Sweet by Teyana Taylor  my itunes. 	3	play And from 	Please play Short And Sweet by Teyana Taylor from my itunes.
 moby grape live to enamorándose 	0	Add 	Add moby grape live to enamorándose
add paula abdul to Classic Acoustic playlist	0		add paula abdul to Classic Acoustic playlist
Please play something that's freak folk on Google Music	3		Please play something that's freak folk on Google Music
what  the movie schedule  Cineplex Odeon Corporation 	6	is for 	what is the movie schedule for Cineplex Odeon Corporation
Find WxHexEditor.	5		Find WxHexEditor.
Rate The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves series 2 points	4		Rate The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves series 2 points
  Potter  the Deathly Hallows – Part 2 	5	find Harry and 	find Harry Potter and the Deathly Hallows – Part 2
Play fifties music 	3		Play fifties music
 music by Vybz Kartel 	3	play 	play music by Vybz Kartel
What's the cloud forecast   Sierra Leone? 	2	now for 	What's the cloud forecast now for Sierra Leone?
play the last 1957 movement	3		play the last 1957 movement
Give  a list of movie times  films  the area. 	6	me for in 	Give me a list of movie times for films in the area.
add bad news to highway 61 playlist	0		add bad news to highway 61 playlist
Please use Itunes to play something from 1986	3		Please use Itunes to play something from 1986
can i get the movie schedule for Goodrich Quality Theaters	6		can i get the movie schedule for Goodrich Quality Theaters
my té para tres needs Brave and Crazy added on. 	0		my té para tres needs Brave and Crazy added on. 
 a song  Juanes on Last Fm 	3	Play by 	Play a song by Juanes on Last Fm
add this song to the Novedades Pop playlist	0		add this song to the Novedades Pop playlist
 the book The Egoist  out of 6 	4	rate five 	rate the book The Egoist five out of 6
 kasey chambers to my political punks  	0	add playlist 	add kasey chambers to my political punks playlist
 my current album 5 points 	4	Rate 	Rate my current album 5 points
I have a party of four in Japan and need a reservation at Rimsky-Korsakoffee House on Aug. the 3rd.	1		I have a party of four in Japan and need a reservation at Rimsky-Korsakoffee House on Aug. the 3rd.
This  book deserves 3 points 	4	current 	This current book deserves 3 points
  the Eugene T. Mahoney State Park forecast  2 days  now 	2	what is for from 	what is the Eugene T. Mahoney State Park forecast for 2 days from now
Find a novel called Nature Reviews Genetics.	5		Find a novel called Nature Reviews Genetics.
Is it nice in PW	2		Is it nice in PW
What is the weather forecast in nine months within walking distance of Ohio	2		What is the weather forecast in nine months within walking distance of Ohio
 Atop  Underwood: Early Stories  Other Writings 0 out of 6  	4	rate an and stars 	rate Atop an Underwood: Early Stories and Other Writings 0 out of 6 stars
How  the  going to be  Gambia  a week  a half? 	2	is weather in in and 	How is the weather going to be in Gambia in a week and a half?
Put Ron Wood in the Digster Reggae playlist.	0		Put Ron Wood in the Digster Reggae playlist.
 the schedule  Death Valley Manhunt. 	6	Find for 	Find the schedule for Death Valley Manhunt.
I want to watch the trailer Ad Nauseam	5		I want to watch the trailer Ad Nauseam
Give this essay a rating of 5.	4		Give this essay a rating of 5.
movie schedules  animated movies playing  the neighbourhood 	6	for in 	movie schedules for animated movies playing in the neighbourhood
my sons and I want to dine at The Water Club in Georgia	1		my sons and I want to dine at The Water Club in Georgia
Need a table for a party of 3 in Laos at a Theme restaurant	1		Need a table for a party of 3 in Laos at a Theme restaurant
What is the 7 A.M. movie schedules at Amco Entertainment	6		What is the 7 A.M. movie schedules at Amco Entertainment
rate Licence Renewed a 4	4		rate Licence Renewed a 4
What is the weather forecast now in Texas?	2		What is the weather forecast now in Texas?
What is the weather like in Hurstville?	2		What is the weather like in Hurstville?
Give four    6 to Practice to Deceive 	4	stars out of 	Give four stars out of 6 to Practice to Deceive
I think that The Wizard is a four of 6.	4		I think that The Wizard is a four of 6.
 Bruce Lee: The   I Knew 5 points. 	4	Give Man Only 	Give Bruce Lee: The Man Only I Knew 5 points.
Is it going to get colder at my current location by 10 am	2		Is it going to get colder at my current location by 10 am
 the second three years to  workout twerkout  	0	Add my playlist 	Add the second three years to my workout twerkout playlist
I'm looking  a  called Salvage Mice. 	5	for movie 	I'm looking for a movie called Salvage Mice.
what  the forecast  hot temps  Kuwait  Augusta Springs 	2	is for in in 	what is the forecast for hot temps in Kuwait in Augusta Springs
Get me a Johnny Cool photograph	5		Get me a Johnny Cool photograph
Is there going to be a depression in Point Washington State Forest	2		Is there going to be a depression in Point Washington State Forest
Can I see the the TV series The Late Music?	5		Can I see the the TV series The Late Music?
What time is Project Censored the Movie playing at the movie house	6		What time is Project Censored the Movie playing at the movie house
Where the Sky Meets the Land time playing	6		Where the Sky Meets the Land time playing
rate this textbook 4 out of 6 stars	4		rate this textbook 4 out of 6 stars
 some music from 1995 	3	Play 	Play some music from 1995
 a highly rated brasserie restaurant  Liberia   a table for 5 	1	find in and book 	find a highly rated brasserie restaurant in Liberia and book a table for 5
I want to hear the Live At Slane Castle album by Haifa Wehbe	3		I want to hear the Live At Slane Castle album by Haifa Wehbe
 a restaurant  Eleele on October the fifth  3 people. 	1	Book in for 	Book a restaurant in Eleele on October the fifth for 3 people.
 the greatest Nicholaus Arson concerto  around 2000 	3	Play from 	Play the greatest Nicholaus Arson concerto from around 2000
show movie times  Megaplex Theatres 	6	at 	show movie times at Megaplex Theatres
where  The Chief Cook playing 	6	is 	where is The Chief Cook playing
put this album on  Wild Country  	0	my playlist 	put this album on my Wild Country playlist
  the   Dr. Julian G. Bruce St. George Island State Park  rainy  	2	what is forecast for for weather 	what is the forecast for Dr. Julian G. Bruce St. George Island State Park for rainy weather
Book a table for three at a middle eastern gastropub	1		Book a table for three at a middle eastern gastropub
 this  to lo más dance playlist. 	0	Add artist 	Add this artist to lo más dance playlist.
I want to see animated   the neighbourhood 	6	movie in 	I want to see animated movie in the neighbourhood
Play Listen To The Mocking Bird by Billy Martin on Youtube	3		Play Listen To The Mocking Bird by Billy Martin on Youtube
find Trivial Pursuit: America Plays	5		find Trivial Pursuit: America Plays
rate the bok series Preparedness 101: Zombie Apocalypse two for 6 stars	4		rate the bok series Preparedness 101: Zombie Apocalypse two for 6 stars
  a possiable 6 I  Jip, His Story a 0 	4	Out of give 	Out of a possiable 6 I give Jip, His Story a 0
   mummy want to go to  indian  next winter within the same area  Cortelyou Rd 	1	me and my an bar of 	me and my mummy want to go to an indian bar next winter within the same area of Cortelyou Rd
 verdure serving restaurant  Bloom City 	1	book in 	book verdure serving restaurant in Bloom City
Will be warm in Hallwood, Kosovo?	2		Will be warm in Hallwood, Kosovo?
The road trip playlist needs justin utley in it. 	0		The road trip playlist needs justin utley in it. 
Give Miso Soup a rating of one points.	4		Give Miso Soup a rating of one points.
What time  The Message playing  Loews Cineplex? 	6	is at 	What time is The Message playing at Loews Cineplex?
What is the movie schedule for the movies that are playing nearby?	6		What is the movie schedule for the movies that are playing nearby?
Book a table at Top Pot Doughnuts in Greensburg, AMerican Samoa	1		Book a table at Top Pot Doughnuts in Greensburg, AMerican Samoa
Give A Kentucky Cardinal four points	4		Give A Kentucky Cardinal four points
Book a restaurant for four on october 9 in Maine	1		Book a restaurant for four on october 9 in Maine
find the TV show Tribute to the Troops	5		find the TV show Tribute to the Troops
Let me know the movie times for films in the area.	6		Let me know the movie times for films in the area.
 country favorites willie nelson style to   titled Spinnin' Records  100 	0	add my playlist Top 	add country favorites willie nelson style to my playlist titled Spinnin' Records Top 100
 a spot for me   sister  a restaurant that has clafoutis 	1	book and my at 	book a spot for me and my sister at a restaurant that has clafoutis
What film is playing in the neighbourhood	6		What film is playing in the neighbourhood
play some nineties music	3		play some nineties music
 The Great Adventures  Slick Rick game 	5	Play of 	Play The Great Adventures of Slick Rick game
Give this series three  out  6. 	4	points of 	Give this series three points out of 6.
Can you play a 1967 soundtrack on Slacker	3		Can you play a 1967 soundtrack on Slacker
play music from the twenties with Slacker	3		play music from the twenties with Slacker
I'd like to book a table at a restaurant for a group of 4	1		I'd like to book a table at a restaurant for a group of 4
I want a   8  Plain on Aug. 5 	1	table for in 	I want a table for 8 in Plain on Aug. 5
play 1951 tunes	3		play 1951 tunes
 my Frescura Indie playlist 	3	Play 	Play my Frescura Indie playlist 
Add Barry McGuire to my playlist called have a laugh.	0		Add Barry McGuire to my playlist called have a laugh.
Play some Paulinho Da Viola from 1965.	3		Play some Paulinho Da Viola from 1965.
what is the warm forecast for Newburyport New Caledonia	2		what is the warm forecast for Newburyport New Caledonia
Add a song to my playlist Black History Salute	0		Add a song to my playlist Black History Salute
gve 2 points to The Stinky Cheese Man and Other Fairly Stupid Tales	4		gve 2 points to The Stinky Cheese Man and Other Fairly Stupid Tales
What's the   the U.S. Virgin Islands 	2	weather in 	What's the weather in the U.S. Virgin Islands
This   only nets 3 out of 6  	4	current book points 	This current book only nets 3 out of 6 points
What time are movies showing around here	6		What time are movies showing around here
I wish to put tom baxter onto my coffee table jazz playlist	0		I wish to put tom baxter onto my coffee table jazz playlist
find At This Point in Time	5		find At This Point in Time
give Begums Thugs  White Mughals four  	4	and points 	give Begums Thugs and White Mughals four points
Can you give me the forecast for Osgood	2		Can you give me the forecast for Osgood
What  are playing  the closest cinema 	6	films at 	What films are playing at the closest cinema
 album to  party with friends 	0	Add my 	Add album to my party with friends
add billy eckstine to my emotron	0		add billy eckstine to my emotron
Can you add a tune by natalie macmaster to my viajes playlist	0		Can you add a tune by natalie macmaster to my viajes playlist
book a spot  Colony 	1	at 	book a spot at Colony
What time is Tommy and Quadrophenia Live playing at Marcus Corporation	6		What time is Tommy and Quadrophenia Live playing at Marcus Corporation
 The Purcell Papers two out of 6  	4	Rate stars 	Rate The Purcell Papers two out of 6 stars
   named I Fell  Love with a Dead Boy 	5	show TV show in 	show TV show named I Fell in Love with a Dead Boy
Will there be wind  ME? 	2	in 	Will there be wind in ME?
Will  be a blizzard  Oregon? 	2	there in 	Will there be a blizzard in Oregon?
I give a rating of four to this textbook.	4		I give a rating of four to this textbook.
Can you  some Synthpop  on Youtube 	3	play music 	Can you play some Synthpop music on Youtube
Go to the TV series Love Berry	5		Go to the TV series Love Berry
Is there any hail in Monterey Bay National Marine Sanctuary	2		Is there any hail in Monterey Bay National Marine Sanctuary
What time is Pussyfoot playing at Pacific Theatres?	6		What time is Pussyfoot playing at Pacific Theatres?
Add See Me Now to my enamorándose playlist	0		Add See Me Now to my enamorándose playlist
 a restaurant  eight people  six years . 	1	Book for in 	Book a restaurant for eight people in six years  .
Can you find me the Back When I Knew It All album?	5		Can you find me the Back When I Knew It All album?
What's the weather like nearby in Rhode Island?	2		What's the weather like nearby in Rhode Island?
Play a twenties track by the aj carothers on Zvooq.	3		Play a twenties track by the aj carothers on Zvooq.
Is temperature  Hanksville freezing ? 	2	in 	Is temperature in Hanksville freezing ?
 The Lady  the Highwayman playing  7 A.M.  Dipson Theatres? 	6	Is and at at 	Is The Lady and the Highwayman playing at 7 A.M. at Dipson Theatres?
 a reservation  4 people  a restaurant within the same area as  step daughter's  	1	Book for at my position 	Book a reservation for 4 people at a restaurant within the same area as my step daughter's position
Find movie times for Alamo Drafthouse Cinema at 10:37 P.M..	6		Find movie times for Alamo Drafthouse Cinema at 10:37 P.M..
what is the forecast for the current place for sun on january sixth, 2028 within walking distance	2		what is the forecast for the current place for sun on january sixth, 2028 within walking distance
Check the  timings  Cracked Nuts  Southern Theatres. 	6	movie for at 	Check the movie timings for Cracked Nuts at Southern Theatres.
I want to give this  three out  6  	4	book of stars 	I want to give this book three out of 6 stars
 The Gill Deacon Show. 	5	Find 	Find The Gill Deacon Show.
 the Ninth Key 3 of 6  	4	Rate points 	Rate the Ninth Key 3 of 6 points
give three stars to  essay 	4	current 	give three stars to current essay
Book a reservation for me and my wife at The Middle East in Guernsey	1		Book a reservation for me and my wife at The Middle East in Guernsey
Swine Not? deserves four points	4		Swine Not? deserves four points
I would give Sentenced to Prism a rating    a  rating  6 	4	of zero and best of 	I would give Sentenced to Prism a rating of zero and a best rating of 6
Add an artist to my playlist This Is Verdi	0		Add an artist to my playlist This Is Verdi
Dawn of the Emperors: Thyatis and Alphatia deserves a rating value of 1	4		Dawn of the Emperors: Thyatis and Alphatia deserves a rating value of 1
trailer  Gate  Thunder 	5	of of 	trailer of Gate of Thunder
 The Cry  the Owl a four 	4	rate of 	rate The Cry of the Owl a four
I want to hear a  song  2016 	3	good from 	I want to hear a good song from 2016
I'd like to eat  a   MD with a party  8 	1	at restaurant in of 	I'd like to eat at a restaurant in MD with a party of 8
play the last Niney The Observer song	3		play the last Niney The Observer song
I rate Secret Water as a 4.	4		I rate Secret Water as a 4.
Find me the movie times	6		Find me the movie times
play Spotify 	3		play Spotify
book a table for eight in Graf far away	1		book a table for eight in Graf far away
Can i get the  times  Fox Theatres? 	6	movie for 	Can i get the movie times for Fox Theatres?
 Afternoon movie times for movies  the neighborhood 	6	find in 	find Afternoon movie times for movies in the neighborhood
 you  a photograph  Ace Ventura: The CD-Rom Game 	5	Can find of 	Can you find a photograph of Ace Ventura: The CD-Rom Game
I would  The Persistence  Vision 1   a best rating  6 	4	rate of stars and of 	I would rate The Persistence of Vision 1 stars and a best rating of 6
put four in blue onto Ultimate 00s.	0		put four in blue onto Ultimate 00s.
Let me get the forecast in Allardt, Canada.	2		Let me get the forecast in Allardt, Canada.
The Rats of Hamelin deserves zero points	4		The Rats of Hamelin deserves zero points
 the  the Sign  Saturn 0  6 	4	Rate Under of of 	Rate the Under the Sign of Saturn 0 of 6
what movies are on the movie schedules   hours  now  the neighbourhood 	6	for five from in 	what movies are on the movie schedules for five hours from now in the neighbourhood
What is the weather going to be like in Klondike Gold Rush National Historical Park on february the 28th, 2034?	2		What is the weather going to be like in Klondike Gold Rush National Historical Park on february the 28th, 2034?
Show me the album Clarke	5		Show me the album Clarke
play a ballad from 2000	3		play a ballad from 2000
I only give Blood Work   	4	two stars 	I only give Blood Work two stars
I give The Blood Book five stars	4		I give The Blood Book five stars
add Brian May to my Reggae Infusions list	0		add Brian May to my Reggae Infusions list
  tune to kristine's laundry playlist. 	0	Add another 	Add another tune to kristine's laundry playlist. 
 me a 1986 Jim Root 	3	Play 	Play me a 1986 Jim Root
movie schedule at Cinemark Theatres	6		movie schedule at Cinemark Theatres
book a brasserie with internet fascility for 5 in a year  in Oklahoma	1		book a brasserie with internet fascility for 5 in a year  in Oklahoma
  track to New Hip Hop 	0	add this 	add this track to New Hip Hop
Is it going to be warm in Cottageville	2		Is it going to be warm in Cottageville
Book the best cafe on Jan. 18th, 2035.	1		Book the best cafe on Jan. 18th, 2035.
 a table for 7  a joint  OK that's far  here 	1	Find at in from 	Find a table for 7 at a joint in OK that's far from here
 a TV  called The Traffic Policeman 	5	find show 	find a TV show called The Traffic Policeman
When is The Blood Stain playing at the movie house?	6		When is The Blood Stain playing at the movie house?
please   album to the  titled Hip Hop 2017 New School 	0	add this playlist 	please add this album to the playlist titled Hip Hop 2017 New School
What animated movies are playing  Pacific  	6	at Theatres 	What animated movies are playing at Pacific Theatres
 Ik Tara to laundry playlst 	0	add 	add Ik Tara to laundry playlst
the stars for Behind the Beat should number four for this chronicle	4		the stars for Behind the Beat should number four for this chronicle
Play a Jack Lawrence concerto	3		Play a Jack Lawrence concerto
Please  a tune by kaori utatsuki to  Korean OSTs  	0	add my playlist 	Please add a tune by kaori utatsuki to my Korean OSTs playlist
what  the weather  East Portal KS 	2	is of 	what is the weather of East Portal KS
 the  book 1 of 6 points 	4	Rate current 	Rate the current book 1 of 6 points
whats the weather in Blythewood Louisiana	2		whats the weather in Blythewood Louisiana
add Funtwo to disco fever track	0		add Funtwo to disco fever track
Find the schedule for Chronicle of My Mother at the nearest cinema in 1 minute and 8 seconds.	6		Find the schedule for Chronicle of My Mother at the nearest cinema in 1 minute and 8 seconds.
 a photograph called XQuery API  Java 	5	find for 	find a photograph called XQuery API for Java
The Rats of Hamelin deserves   	4	zero points 	The Rats of Hamelin deserves zero points
I want to  Uproar  the Studio  the nearest cinema 	6	watch in at 	I want to watch Uproar in the Studio at the nearest cinema
find a painting called Mister Whiskers: My Favourite Nursery Rhymes	5		find a painting called Mister Whiskers: My Favourite Nursery Rhymes
I give this next essay zero out of 6 points	4		I give this next essay zero out of 6 points
add billy strayhorn to my highway 61 playlist	0		add billy strayhorn to my highway 61 playlist
Let me hear the Live From The Ghetto album by Beau Jocque.	3		Let me hear the Live From The Ghetto album by Beau Jocque.
I would  to  a food truck with mughlai cuisine  Somalia 	1	like book in 	I would like to book a food truck with mughlai cuisine in Somalia
I'd like a table for   any restaurant 	1	five at 	I'd like a table for five at any restaurant
I want to  roberto valverde   Ultra Metal list 	0	put into my 	I want to put roberto valverde into my Ultra Metal list
Find me Under the Skin	5		Find me Under the Skin
Make me a reservation at a fast food restaurant for elba and corina at a restaurant with parking	1		Make me a reservation at a fast food restaurant for elba and corina at a restaurant with parking
The  saga only gets three  out  6. 	4	current points of 	The current saga only gets three points out of 6.
What is the weather forecast tomorrow in French, UT?	2		What is the weather forecast tomorrow in French, UT?
 a   6 that has stuffed ham  isn't too faraway  Canarsie - Rockaway Parkway  bennington battle day. 	1	Book bar for and from on 	Book a bar for 6 that has stuffed ham and isn't too faraway from Canarsie - Rockaway Parkway on bennington battle day.
Tell me the weather for Sewickley at twelve am	2		Tell me the weather for Sewickley at twelve am
Please search the Ironbound picture.	5		Please search the Ironbound picture.
 25 To Life  Paul Riley on Deezer. 	3	Play by 	Play 25 To Life by Paul Riley on Deezer.
hot weather forecast  Pilar, Réunion 	2	for 	hot weather forecast for Pilar, Réunion 
 it cold now  Carlos, IL 	2	Is in 	Is it cold now in Carlos, IL
Can you add Esquivando charcos to my playlist entitled the piano bar	0		Can you add Esquivando charcos to my playlist entitled the piano bar
  the weather be like  three weeks  Gates Michigan 	2	What will in in 	What will the weather be like in three weeks in Gates Michigan
Find a movie schedule.	6		Find a movie schedule.
What movies will be showing around here?	6		What movies will be showing around here?
I give Benson-Meditation 1   6 stars. 	4	out of 	I give Benson-Meditation 1 out of 6 stars.
Will there be snowfall  KY? 	2	in 	Will there be snowfall in KY?
Book a reservation for a party of six in the same area  as Metropolitan Borough of Bethnal Green	1		Book a reservation for a party of six in the same area  as Metropolitan Borough of Bethnal Green
Will it be warmer in Poplar Bluff	2		Will it be warmer in Poplar Bluff
Need a table  for party of five for December 26, 2040 in the state of MT	1		Need a table  for party of five for December 26, 2040 in the state of MT
this series gets 2 out of 6 stars	4		this series gets 2 out of 6 stars
Play a song from 2003	3		Play a song from 2003
Will it get foggy in Spring Hill?	2		Will it get foggy in Spring Hill?
add Hello, My Lover, Goodbye to my Deathcore playlist	0		add Hello, My Lover, Goodbye to my Deathcore playlist
